Displacement,Milage
2979,9.9
3993,9.8
4691,9.8
6749,9.8
4395,9.8
2360,9.62
4999,9.6
4999,9.6
6752,9.5
2995,9.17
2995,9.17
2995,9.17
2995,9.17
2981,9.1
3855,9
4497,9
4461,9
3799,9
2981,8.9
6498,8.8
3996,8.77
3604,8.61
5998,8.6
5461,8.5
1999,8.4
5204,8
3982,8
6592,7.96
4395,7.94
2987,7.9
2979,7.9
2979,7.9
2987,7.9
6598,7.9
2996,7.8
5980,7.8
4663,7.8
4663,7.8
3996,7.8
3982,7.8
3982,7.8
3982,7.8
1998,7.6
2998,7.6
1988,7.4
1988,7.4
6592,7.29
5204,6.71
7993,5.95
7993,5.95
3902,5.5
3902,5.5
3900,5.5
6262,5.5
3902,5.5
6498,5
6498,5
3993,4
5998,4
216,35
2995,3.4
1248,28.4
1248,28.4
1248,28.4
1248,28.4
1248,28.4
1248,28.4
1248,28.4
1248,28.4
1248,28.09
1248,28.09
1248,28.09
1248,28.09
1498,27.4
1498,27.4
1498,27.4
1498,27.4
1498,27.4
1498,27.4
1498,27.4
1498,27.4
1248,27.39
1248,27.39
1248,27.39
1248,27.39
1498,27.3
1498,27.3
1498,27.3
1047,27.28
1498,26.82
1597,26.8
1597,26.8
1498,26.32
1498,26.32
1498,26.1
1498,26.1
1498,26.1
1498,26.1
1498,26.1
1498,26.1
1498,25.6
1498,25.6
1498,25.5
1498,25.5
1498,25.5
1498,25.5
1498,25.5
1498,25.5
1498,25.5
1498,25.5
1186,25.4
1120,25.4
1120,25.4
1186,25.35
1186,25.35
1198,25.32
1198,25.32
1198,25.32
1198,25.32
1198,25.32
1198,25.32
1198,25.32
1198,25.32
1198,25.32
1198,25.32
1198,25.32
1248,25.2
1248,25.2
1248,25.2
1248,25.2
1248,25.2
1248,25.2
1248,25.2
799,25.17
799,25.17
799,25.17
799,25.17
799,25.17
799,25.17
799,25.17
799,25.17
1498,25.1
1498,25.1
1497,25
796,24.7
1498,24.4
1498,24.4
1498,24.4
1498,24.4
1248,24.3
1248,24.3
1248,24.3
1248,24.3
1248,24.3
1248,24.3
1248,24.3
1248,24.3
1248,24.3
1498,24.2
1498,24.2
1498,24.2
998,24.07
998,24.07
998,24.07
998,24.07
998,24.07
999,24.04
999,24.04
999,24.04
1199,24
1199,24
1199,24
1497,23.97
1497,23.97
1497,23.97
1497,23.97
1497,23.97
1497,23.97
1497,23.97
1497,23.97
1497,23.97
1497,23.97
1497,23.97
1497,23.97
1582,23.9
1798,23.9
1197,23.87
1199,23.84
1199,23.84
1498,23.8
1498,23.8
1248,23.7
1397,23.7
1397,23.7
1397,23.7
1397,23.7
1397,23.7
796,23.7
1248,23.65
1248,23.65
1248,23.65
1248,23.65
624,23.6
624,23.6
624,23.6
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1364,23.59
1582,23.5
2487,23.2
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
998,23.1
1993,23.1
1461,23.08
1461,23.08
999,23.01
999,23.01
999,23.01
999,23.01
999,23.01
999,23
1199,23
1199,23
1199,23
1199,23
1199,23
1199,23
1199,23
1199,23
1199,23
1199,23
1199,23
1248,23
1248,23
1248,23
1248,23
1248,23
1498,23
1498,23
1498,23
1498,23
1497,23
1498,23
1497,23
1498,23
6749,23
6749,23
1248,22.95
1248,22.95
1248,22.95
1248,22.95
6749,22.8
1461,22.71
1461,22.71
1461,22.71
1461,22.71
1497,22.6
1396,22.54
1396,22.54
1396,22.54
1396,22.54
1396,22.54
999,22.5
998,22.5
998,22.5
998,22.5
998,22.5
998,22.5
998,22.5
6750,22.2
796,22.05
796,22.05
796,22.05
796,22.05
796,22.05
796,22.05
796,22.05
796,22.05
1197,22
1197,22
1197,22
1197,22
1197,22
1197,22
1197,22
1197,22
624,21.9
624,21.9
1498,21.9
1498,21.9
1498,21.9
1995,21.76
1498,21.73
1498,21.73
1498,21.72
1498,21.72
1498,21.72
1498,21.72
998,21.7
998,21.7
998,21.7
998,21.7
998,21.7
998,21.7
1984,21.7
1498,21.66
1498,21.66
1498,21.66
1462,21.56
1462,21.56
1462,21.56
1462,21.56
1498,21.5
1197,21.5
1197,21.5
1197,21.5
1197,21.5
1197,21.5
1197,21.5
998,21.4
998,21.4
998,21.4
998,21.4
1197,21.4
1197,21.4
1197,21.4
1197,21.4
1197,21.4
1197,21.4
1197,21.4
998,21.4
1396,21.38
1396,21.38
1396,21.38
1997,21.27
1248,21.2
1396,21.19
1496,21.15
1496,21.15
1498,21.13
1498,21.13
1498,21.13
1498,21.13
1498,21.13
1461,21.04
1461,21.04
1461,21.04
1461,21.04
1461,21.04
1197,21.04
1197,21.04
1197,21.01
1364,21
1364,21
1968,21
1968,21
1968,21
1461,21
1461,21
1461,21
1197,20.89
1197,20.89
1197,20.89
1197,20.89
1197,20.89
1197,20.89
1197,20.89
1186,20.7
1197,20.7
1197,20.7
1197,20.7
1197,20.7
1197,20.7
1197,20.7
1197,20.7
1186,20.7
1186,20.7
1995,20.68
1995,20.68
1995,20.68
1248,20.65
1248,20.65
1498,20.64
1498,20.64
1498,20.64
1498,20.64
1198,20.6
1198,20.6
1198,20.6
1198,20.6
1198,20.6
1198,20.6
1198,20.6
1198,20.6
1198,20.6
999,20.5
999,20.5
999,20.5
999,20.5
1197,20.5
1197,20.5
1197,20.5
1197,20.5
1197,20.5
998,20.5
1248,20.5
1248,20.5
1248,20.5
1172,20.5
1461,20.45
1461,20.45
1461,20.45
1461,20.45
1461,20.45
1461,20.45
1461,20.45
1461,20.45
1461,20.45
1186,20.4
1194,20.4
1194,20.4
1194,20.4
1197,20.4
1197,20.4
1197,20.4
1197,20.4
1197,20.4
1197,20.4
1197,20.4
1248,20.4
1248,20.4
1248,20.4
1194,20.4
1196,20.4
1194,20.4
1968,20.38
1968,20.38
1461,20.37
1461,20.37
1086,20.3
1086,20.3
1086,20.3
1086,20.3
1086,20.3
1086,20.3
1248,20.3
1462,20.28
1462,20.28
1462,20.28
1197,20.14
1498,20.14
1498,20.14
1498,20.14
1197,20.14
1197,20.14
1198,20.1
1198,20.1
1198,20.1
1198,20.1
1198,20.1
1198,20.1
1198,20.1
1198,20.1
1198,20.1
1197,20.1
1197,20.1
1461,20.08
1461,20.08
1461,20.08
1197,20
1248,20
1248,20
1248,20
1497,20
1497,20
1497,20
1497,20
1497,20
1497,20
1497,20
1248,20
1493,20
1493,20
1493,20
1493,20
1493,20
1493,20
1493,20
1461,19.98
1461,19.98
1498,19.91
1498,19.91
1197,19.77
1197,19.77
1197,19.77
1197,19.77
1582,19.67
1582,19.67
1582,19.67
1582,19.67
1582,19.67
1995,19.62
1995,19.62
1461,19.6
1461,19.6
1461,19.6
1461,19.6
1461,19.6
1461,19.6
2400,19.6
1197,19.56
1197,19.56
1197,19.56
1597,19.5
1199,19.5
1199,19.5
1199,19.5
1198,19.5
1199,19.5
1199,19.5
1199,19.5
1199,19.5
1248,19.5
1248,19.5
1968,19.5
1968,19.5
1968,19.5
1198,19.49
1194,19.4
1194,19.4
1194,19.4
1462,19.34
1462,19.34
1462,19.34
1462,19.34
1462,19.34
1198,19.34
1198,19.34
1999,19.33
1999,19.33
1999,19.33
1395,19.2
1395,19.2
1395,19.2
1968,19.2
1998,19.19
1396,19.1
1396,19.1
1462,19.01
1462,19.01
1461,19.01
1461,19.01
1194,19
1194,19
1194,19
1194,19
999,19
999,19
999,19
1199,19
1199,19
5950,19
1199,19
1199,19
1198,18.97
1198,18.97
1197,18.9
1969,18.8
999,18.78
999,18.78
999,18.78
1462,18.69
1462,18.69
1197,18.6
1197,18.6
1197,18.6
1197,18.6
1197,18.6
1197,18.6
1995,18.56
1998,18.56
1995,18.56
2179,18.49
2179,18.49
2179,18.49
1493,18.49
1493,18.49
1493,18.49
1493,18.49
1493,18.49
1493,18.49
1493,18.49
1995,18.42
1597,18.3
2494,18.3
2494,18.3
998,18.27
998,18.27
998,18.27
998,18.27
1199,18.2
1199,18.2
1199,18.2
1968,18.19
1968,18.19
1968,18.19
1968,18.19
1197,18.19
1197,18.19
1968,18.19
1968,18.19
1968,18.19
1950,18.18
1197,18.16
1197,18.16
1197,18.16
1197,18.16
1197,18.16
1197,18.16
1197,18.16
1197,18.15
1198,18.15
1198,18.15
1198,18.15
1198,18.15
1198,18.15
1198,18.15
1198,18.15
1198,18.15
1198,18.15
1198,18.15
1198,18.15
998,18.15
998,18.15
1995,18.12
3456,18
4461,18
1199,18
5700,18
2993,18
2993,18
2993,18
2993,18
1497,18
1498,17.97
2143,17.9
2143,17.9
2143,17.9
2143,17.9
2143,17.9
2487,17.8
1496,17.8
1496,17.8
1496,17.8
1496,17.8
1497,17.8
1497,17.8
1197,17.71
1197,17.71
1591,17.7
1591,17.7
1591,17.7
1591,17.7
1591,17.7
2993,17.66
2993,17.66
2993,17.66
1193,17.6
1193,17.6
1193,17.6
1193,17.6
1198,17.6
1198,17.6
1198,17.6
1198,17.6
1198,17.6
1198,17.6
1198,17.6
1198,17.6
1198,17.6
1198,17.6
1198,17.6
1198,17.6
2179,17.6
2179,17.6
2179,17.6
2179,17.6
2179,17.6
2179,17.6
2179,17.6
1193,17.57
1193,17.57
1193,17.57
1193,17.57
1197,17.52
1197,17.52
1199,17.5
1199,17.5
1199,17.5
1199,17.5
1197,17.49
1197,17.49
1968,17.42
1968,17.42
1968,17.42
1968,17.42
2000,17.41
2000,17.41
2000,17.41
2000,17.41
1497,17.4
1497,17.4
1197,17.36
6593,17.3
1497,17.3
1497,17.3
1497,17.3
1497,17.3
1497,17.3
1497,17.3
1497,17.3
1497,17.3
1197,17.21
1197,17.21
1493,17.21
1493,17.21
1493,17.21
1493,17.21
1969,17.2
1969,17.2
1969,17.2
1969,17.2
1969,17.2
1968,17.2
1197,17.19
1197,17.19
1197,17.19
1368,17.1
1582,17.1
1582,17.1
1368,17.1
1956,17.1
1956,17.1
1956,17.1
1956,17.1
1956,17.1
1956,17.1
1956,17.1
1956,17.1
1956,17.1
1956,17.1
1496,17.1
1496,17.1
1498,17.1
1496,17.1
1498,17.1
1496,17.1
1496,17.1
1496,17.1
1496,17.1
1498,17.1
1968,17.06
1968,17.06
1995,17.05
1462,17.01
1462,17.01
1582,17.01
1582,17.01
1497,17
1497,17
1497,17
1197,17
1197,17
1197,17
1197,17
2596,17
2596,17
2596,17
2596,17
1498,16.95
1498,16.95
1395,16.9
1968,16.9
1984,16.81
1984,16.81
1799,16.8
796,16.8
796,16.8
1497,16.8
1497,16.8
1497,16.8
1497,16.8
1497,16.8
1984,16.8
1496,16.78
1496,16.78
1496,16.78
1496,16.78
1496,16.78
1496,16.78
1798,16.7
1798,16.7
1798,16.7
1798,16.7
1956,16.7
1956,16.7
1956,16.7
1956,16.7
1956,16.7
1956,16.7
1395,16.7
1395,16.7
1395,16.7
1493,16.5
1493,16.5
1493,16.5
1493,16.5
1799,16.5
1799,16.5
1353,16.5
1998,16.47
2993,16.46
2993,16.46
1995,16.4
2993,16.4
1995,16.38
1995,16.38
1995,16.38
1999,16.38
1956,16.3
1956,16.3
1368,16.3
1368,16.3
1956,16.3
1956,16.3
1368,16.3
1956,16.3
1368,16.3
1368,16.3
1956,16.3
1998,16.3
1368,16.3
1968,16.25
1493,16.21
1493,16.21
3996,16.2
1998,16.13
1353,16.1
1353,16.1
1353,16.1
1598,16.09
1598,16.09
1598,16.09
1950,16.05
1173,16
1489,16
1173,16
1489,16
1489,16
1497,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
2179,16
1596,16
2523,15.96
2523,15.96
2523,15.96
2523,15.96
2523,15.96
2523,15.96
2523,15.96
1998,15.75
1968,15.73
1968,15.73
1968,15.73
1968,15.73
1197,15.7
1368,15.7
1368,15.7
1998,15.7
1999,15.7
1172,15.7
1999,15.6
1999,15.6
1595,15.5
2143,15.5
1598,15.41
1598,15.41
1598,15.41
1598,15.41
1598,15.41
1497,15.4
1497,15.4
1497,15.4
1497,15.4
2523,15.4
2179,15.4
2179,15.4
2179,15.4
2179,15.4
2179,15.4
2179,15.4
2393,15.4
2393,15.4
2393,15.4
2393,15.4
3456,15.4
3456,15.4
3456,15.4
1997,15.3
2995,15.3
1591,15.29
1591,15.29
1591,15.29
1591,15.29
1591,15.29
1591,15.29
1591,15.29
1591,15.29
2179,15.1
2179,15.1
2393,15.1
2393,15.1
1798,15.1
